Пользователи: lira,alexfisher,alenywka,arkvoronoff,bonap11,crypto.invest,cryptotaofficial,denis-skripnik,d0z4t0r,esperos,forbon21,frodogrodno,iluxa,ingoda,jahspear,kanareechka,kationa,kewie,kotobormot67,krisha25,kudesnikaltay,lilia,liliyafedotova,macneo,olgaxx,osra111,pzdts,senvi,student61,taisa.gallery,tinochka,tusechka,vadimsen,vadimph,verdon,vovalap,vovalop,zaria,zolotova1703,belisey,icotelegraph,romabel,yaroslaw3,vp-golos-radio,guowang,uberfrau,zlata777,volodtarasov,ekaterinataul,nataliaprofi,get999,mirta,lusia1987,koss87,kolibri,connectedmusic,apnigrich,daos,mgaft1,cnmbekb,orenolga,pkrugloff,scorpio92,chigick,shadenataly,mariya-lorenz,viktorsold,serjo101,felicita,semitsvetik,svibor,sunnyfer

Минималка СГ при определённом проценте:

90%: 
85%: 
80%: 
75%: 
70%: 
65%: 
60%: 
55%: 
50%: 
45%: 
40%: 
35%: 
30%: 
25%: 
20%: 
15%: 
10%: 
5%: 

Рейтинг пользователей на момент создания лога:

1. viktorsold: 10372.655, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
39. cnmbekb: 637.323, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
40. felicita: 602.251, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
41. serjo101: 510.802, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
42. osra111: 490.186, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
43. bonap11: 422.863, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
44. guowang: 402.763, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
45. kotobormot67: 391.952, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
46. icotelegraph: 364.344, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
47. kolibri: 332.063, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
48. connectedmusic: 328.604, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
49. daos: 321.815, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
50. alenywka: 302.582, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
51. cryptotaofficial: 289.282, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
52. tusechka: 276.481, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
53. chigick: 271.149, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
54. lusia1987: 266.564, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
55. scorpio92: 250.567, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
56. crypto.invest: 236.24, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
57. vovalap: 224.098, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
58. uberfrau: 185.57, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
59. taisa.gallery: 166.021, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
60. nataliaprofi: 165.146, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
61. semitsvetik: 152.658, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
62. get999: 114.151, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
63. svibor: 102.729, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
64. sunnyfer: 71.973, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
65. vovalop: 64.981, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
66. kanareechka: 59.91, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
67. iluxa: 59.429, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
68. ekaterinataul: 30.837, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
69. arkvoronoff: 23.753, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
70. senvi: 19.736, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
71. vadimsen: 15.88, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
72. macneo: 4.971, последний голос: 14  2018 г. 01:53:45, батарейка: 100%

Общая сумма СГ: 115217.369 СГ
